location,geo_customer_count,geo_avg_spend,geo_avg_prev_purchases,geo_avg_rating,geo_promo_rate,geo_total_revenue_est,geo_promo_dependency,geo_retention_proxy,geo_hv_share,loyal_hv_count,flag_high_density,flag_high_spend,flag_low_promo,flag_high_sat,flag_high_hv_share,opportunity_score,geo_opportunity
Montana,96,60.25,25.270833333333332,3.8083333333333336,0.375,151623,39.89166666666667,43.89857259570494,0.34375,19,1,1,1,1,1,5,High Opportunity
Nebraska,87,59.44827586206897,24.75862068965517,3.728735632183908,0.42528735632183906,135573,44.11954022988506,42.88533178788757,0.3218390804597701,12,1,0,1,0,0,2,Medium Opportunity
Nevada,87,63.37931034482759,26.03448275862069,3.7126436781609193,0.47126436781609193,154917,47.28735632183908,44.30899900189961,0.367816091954023,16,1,1,0,0,1,3,Medium Opportunity
New Hampshire,71,59.42253521126761,27.098591549295776,3.6112676056338024,0.43661971830985913,120100,44.09014084507042,42.26271827040675,0.36619718309859156,11,0,0,0,0,1,1,Low Opportunity
New Jersey,67,56.74626865671642,23.761194029850746,3.7671641791044777,0.40298507462686567,92485,42.73432835820896,41.72386638237384,0.23880597014925373,7,0,0,1,1,0,2,Medium Opportunity
New Mexico,81,61.901234567901234,26.037037037037038,3.7320987654320987,0.4444444444444444,134125,45.14074074074074,44.0820389390324,0.41975308641975306,16,1,1,0,0,1,3,Medium Opportunity
New York,87,60.42528735632184,24.24137931034483,3.7471264367816093,0.41379310344827586,127935,43.40689655172414,43.60985608036317,0.3218390804597701,14,1,1,1,0,0,3,Medium Opportunity
North Carolina,78,60.794871794871796,24.76923076923077,3.8141025641025643,0.44871794871794873,123663,45.98974358974359,44.86899231487467,0.358974358974359,16,0,1,0,1,1,3,Medium Opportunity
North Dakota,83,62.89156626506024,23.771084337349397,3.7518072289156623,0.4578313253012048,128162,47.11807228915663,41.2511504842901,0.3373493975903614,9,1,1,0,1,0,3,Medium Opportunity
Ohio,77,60.37662337662338,25.142857142857142,3.814285714285714,0.44155844155844154,121651,45.26753246753247,44.025656808177814,0.3246753246753247,10,0,1,0,1,0,2,Medium Opportunity
Oklahoma,75,58.346666666666664,22.973333333333333,3.605333333333333,0.48,100870,49.21066666666667,42.20507338935574,0.28,6,0,0,0,0,0,0,Low Opportunity
Oregon,74,57.33783783783784,25.513513513513512,3.7648648648648653,0.5135135135135135,115249,50.87567567567568,43.96919675978499,0.28378378378378377,6,0,0,0,1,0,1,Low Opportunity
Pennsylvania,74,66.56756756756756,27.41891891891892,3.7797297297297296,0.44594594594594594,143402,44.70810810810811,45.954588538117946,0.5,17,0,1,0,1,1,3,Medium Opportunity
Rhode Island,63,61.44444444444444,23.571428571428573,3.7365079365079366,0.3968253968253968,94628,42.317460317460316,43.342056822729084,0.2857142857142857,8,0,1,1,0,0,2,Medium Opportunity
South Carolina,76,58.4078947368421,26.0,3.7618421052631574,0.5,117396,49.6,42.76226153619342,0.3026315789473684,8,0,0,0,1,0,1,Low Opportunity
South Dakota,70,60.51428571428571,24.6,3.6771428571428566,0.37142857142857144,112708,39.87428571428572,42.28545658263305,0.34285714285714286,12,0,1,1,0,1,3,Medium Opportunity
Tennessee,77,61.97402597402598,25.961038961038962,3.7818181818181817,0.36363636363636365,132224,38.70649350649351,45.287821310342316,0.37662337662337664,14,0,1,1,1,1,4,High Opportunity
Texas,77,61.1948051948052,21.48051948051948,3.905194805194805,0.36363636363636365,110864,40.4987012987013,41.7582422059733,0.35064935064935066,16,0,1,1,1,1,4,High Opportunity
Utah,71,62.57746478873239,27.169014084507044,3.676056338028169,0.4647887323943662,123752,46.31549295774648,43.25226338422693,0.4225352112676056,12,0,1,0,0,1,2,Medium Opportunity
Vermont,85,57.1764705882353,24.6,3.7129411764705886,0.38823529411764707,125869,41.21882352941177,41.89899752842313,0.3058823529411765,15,1,0,1,0,0,2,Medium Opportunity
Virginia,77,62.883116883116884,23.506493506493506,3.7090909090909094,0.37662337662337664,119722,40.72727272727273,43.40639528538688,0.2987012987012987,10,0,1,1,0,0,2,Medium Opportunity
Washington,73,63.32876712328767,24.698630136986303,3.806849315068493,0.4383561643835616,116835,45.18904109589042,42.91183147231495,0.3424657534246575,9,0,1,0,1,1,3,Medium Opportunity
West Virginia,81,63.876543209876544,23.555555555555557,3.580246913580247,0.49382716049382713,124999,50.08395061728395,41.17170660856935,0.35802469135802467,11,1,1,0,0,1,3,Medium Opportunity
Wisconsin,75,55.946666666666665,22.96,3.892,0.48,99126,49.216,40.456977030812325,0.25333333333333335,10,0,0,0,1,0,1,Low Opportunity
Wyoming,71,60.690140845070424,28.239436619718308,3.6943661971830988,0.4225352112676056,125293,42.50704225352113,46.159750660827704,0.39436619718309857,16,0,1,1,0,1,3,Medium Opportunity
